id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,taxon_variety_name,field:phenology (foa)
9034202,2017/11/24 2:54 PM SAST,24/11/2017,2017-11-24 12:54:00 UTC,Africa/Johannesburg,389997,shauns,Shaun Swanepoel,2017-12-03 21:28:02 UTC,2018-08-26 11:58:10 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/9034202,https://inaturalist-open-data.s3.amazonaws.com/photos/12187762/medium.jpeg,,,,4,0,FALSE,,"Amatole, South Africa",-32.71587929,27.09684705,85,,,,85,,open,FALSE,,,,Keiskammahoek,Eastern Cape,South Africa,Eastern Cape,Amathole,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
10832079,12/10/2012,12/10/2012,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2012-11-30 08:16:37 UTC,2018-11-19 09:09:18 UTC,research,CC-BY,https://www.inaturalist.org/observations/10832079,https://inaturalist-open-data.s3.amazonaws.com/photos/15180715/medium.jpg,,rural,<h3>Aloe ferox</h3><br>,8,0,FALSE,,Paardepoort,-33.78567,22.43311,1,,,,1,,open,FALSE,,,,George Greater Municipality and marine,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
10871050,17/07/2013,17/07/2013,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2013-07-30 01:59:08 UTC,2018-11-19 09:09:51 UTC,research,CC0,https://www.inaturalist.org/observations/10871050,https://inaturalist-open-data.s3.amazonaws.com/photos/15260141/medium.jpg,,rural,"<h3>Aloe ferox dt</h3><br><p>Single-stemmed succulent shrub to 3 m, covered below with dry leaves. Leaves broadly lanceolate, margins and often lower surface coarsely toothed. Flowers in dense, cylindrical, branched racemes, nodding and slightly upcurved, orange to reddish, anthers well exserted.</p>",6,0,FALSE,,St Blaize Trail on the coast west of Mossel Bay,-34.19497,22.13556,1,,,,1,,open,FALSE,,,,Mossel,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
10875477,25/09/2013,25/09/2013,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2013-10-17 17:28:07 UTC,2018-11-19 09:08:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/10875477,https://inaturalist-open-data.s3.amazonaws.com/photos/15268933/medium.jpg,,rural,<h3>Aloe ferox</h3><br>,5,0,FALSE,,Kouga Wildernis,-33.72043,23.84377,1,,,,1,,open,FALSE,,,,Joubertina,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
10962203,12/09/2013,12/09/2013,,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2014-05-03 23:49:34 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10962203,https://inaturalist-open-data.s3.amazonaws.com/photos/15426810/medium.jpg,,,<h3>Bitter Aloe</h3><br>,3,0,FALSE,,Boerboenekloof Rooiberg: Towerkop Mountain Catchment Area,-33.66651656,21.33743844,1,,,,1,,open,FALSE,,,,Ladismith,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
11010924,16/08/2014,16/08/2014,,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2014-08-22 23:04:03 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11010924,https://inaturalist-open-data.s3.amazonaws.com/photos/15521608/medium.jpg,,,<h3>Bitter Aloe</h3><br>,6,0,FALSE,,Haarwegskloof,-34.33829676,20.32611254,1,,,,1,,open,FALSE,,,,Bredasdorp,Western Cape,South Africa,Western Cape,Overberg,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
11017243,16/08/2014,16/08/2014,,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2014-08-27 04:33:26 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11017243,https://inaturalist-open-data.s3.amazonaws.com/photos/15533932/medium.jpg,,,<h3>Bitter Aloe Hedgerow</h3><br>,5,0,FALSE,,Haarwegskloof,-34.337998,20.326719,1,,,,1,,open,FALSE,,,,Bredasdorp,Western Cape,South Africa,Western Cape,Overberg,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
11049893,05/08/2015,05/08/2015,,Africa/Johannesburg,660426,outramps-tanniedi,Di Turner,2015-08-11 02:20:07 UTC,2018-08-26 12:05:36 UTC,research,CC0,https://www.inaturalist.org/observations/11049893,https://inaturalist-open-data.s3.amazonaws.com/photos/15596340/medium.jpg,,Outramps CREW St Blaize Trail,<h3>Aloe ferox</h3><br>,4,0,FALSE,,St Blaize Trail on the coast west of Mossel Bay,-34.19186,22.1442,1,,,,1,,open,FALSE,,,,Mossel,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
11081392,21/08/2015,21/08/2015,,Africa/Johannesburg,7682,nicky,Nicola van Berkel,2015-08-30 17:46:53 UTC,2020-08-01 11:33:14 UTC,research,CC-BY,https://www.inaturalist.org/observations/11081392,https://inaturalist-open-data.s3.amazonaws.com/photos/15644942/medium.jpg,,Outramps CREW Klipdrift Zebra,<h3>Aloe ferox</h3><br>,7,0,FALSE,,Klipdrift Zebra,-33.72926,22.30488,1,,,,1,,open,FALSE,,,,George Greater Municipality and marine,Western Cape,South Africa,Western Cape,Eden,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
11136914,04/09/2015,04/09/2015,,Africa/Johannesburg,528390,sallyslak,Sally Adam,2015-10-10 08:59:46 UTC,2022-01-30 14:14:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11136914,https://inaturalist-open-data.s3.amazonaws.com/photos/15753306/medium.jpg,,,<h3>Aloes</h3><br>,2,0,FALSE,,Dam se drif hill,-33.56555,24.04518,1,,,,1,,open,FALSE,,,,Willowmore,Eastern Cape,South Africa,Eastern Cape,Cacadu,Cape aloe,Aloe ferox,Cape Aloe,Plantae,124412,Asphodelaceae,Aloe,Aloe ferox,,,
